2021-12-14 22:38:36.160 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [SpringData_JpaTestCase], using SpringBootContextLoader
2021-12-14 22:38:36.167 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [SpringData_JpaTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-14 22:38:36.168 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [SpringData_JpaTestCase]: SpringData_JpaTestCase does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-14 22:42:50.527 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [SpringData_JpaTestCase], using SpringBootContextLoader
2021-12-14 22:42:50.534 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [SpringData_JpaTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-14 22:42:50.733 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-14 22:42:50.759 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5038d0b5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@32115b28, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2ad48653, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6bb4dd34, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7d9f158f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@45efd90f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4b8729ff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61710c6, org.springframework.test.context.event.EventPublishingTestExecutionListener@3214ee6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@383dc82c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4a07d605, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@74287ea3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7d7758be, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2bdd8394, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5f9edf14]
2021-12-14 22:42:51.146 [main] INFO  SpringData_JpaTestCase - Starting SpringData_JpaTestCase using Java 1.8.0_302 on LAPTOP-JI8GJ7ET with PID 32616 (started by Misaki in C:\Users\Misaki\Desktop\EPUBZiliao\pdf-epub-conveter)
2021-12-14 22:42:51.147 [main] INFO  SpringData_JpaTestCase - No active profile set, falling back to default profiles: default
2021-12-14 22:42:51.825 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-12-14 22:42:51.906 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 4 JPA repository interfaces.
